RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,RecipeCategory,Keywords,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings
38,Low-Fat Berry Blue Frozen Dessert,1533,Dancer,PT24H,PT45M,PT24H45M,1999-08-09T21:46:00Z,Make and share this Low-Fat Berry Blue Frozen Dessert recipe from Food.com.,Frozen Desserts,"c(""Dessert"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Free Of..."", ""Summer"", ""Weeknight"", ""Freezer"", ""Easy"")",170.9,2.5,1.3,8.0,29.8,37.1,3.6,30.2,3.2,4.0
39,Biryani,1567,elly9812,PT25M,PT4H,PT4H25M,1999-08-29T13:12:00Z,Make and share this Biryani recipe from Food.com.,Chicken Breast,"c(""Chicken Thigh & Leg"", ""Chicken"", ""Poultry"", ""Meat"", ""Asian"", ""Indian"", ""Weeknight"", ""Stove Top"")",1110.7,58.8,16.6,372.8,368.4,84.4,9.0,20.4,63.4,6.0
40,Best Lemonade,1566,Stephen Little,PT5M,PT30M,PT35M,1999-09-05T19:52:00Z,"This is from one of my  first Good House Keeping cookbooks.  You must use a *zester* in order to avoid getting any of that bitter rind, and when you zest the lemons, zest them onto some sugar from the recipe (the sugar will 'catch' all of the oils).  I also advise you from personal experience to use only the best skinned lemons for the best flavor.",Beverages,"c(""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Summer"", ""< 60 Mins"")",311.1,0.2,0.0,0.0,1.8,81.5,0.4,77.2,0.3,4.0
41,Carina's Tofu-Vegetable Kebabs,1586,Cyclopz,PT20M,PT24H,PT24H20M,1999-09-03T14:54:00Z,This dish is best prepared a day in advance to allow the ingredients to soak in  the marinade overnight.,Soy/Tofu,"c(""Beans"", ""Vegetable"", ""Low Cholesterol"", ""Weeknight"", ""Broil/Grill"", ""Oven"")",536.1,24.0,3.8,0.0,1558.6,64.2,17.3,32.1,29.3,2.0
42,Cabbage Soup,1538,Duckie067,PT30M,PT20M,PT50M,1999-09-19T06:19:00Z,Make and share this Cabbage Soup recipe from Food.com.,Vegetable,"c(""Low Protein"", ""Vegan"", ""Low Cholesterol"", ""Healthy"", ""Winter"", ""< 60 Mins"", ""Easy"")",103.6,0.4,0.1,0.0,959.3,25.1,4.8,17.7,4.3,4.0
43,Best Blackbottom Pie,34879,Barefoot Beachcomber,PT2H,PT20M,PT2H20M,1999-08-21T10:35:00Z,Make and share this Best Blackbottom Pie recipe from Food.com.,Pie,"c(""Dessert"", ""Weeknight"", ""Stove Top"", ""< 4 Hours"")",437.9,19.3,10.9,94.3,267.6,58.0,1.8,42.5,7.0,8.0
44,Warm Chicken A La King,1596,Joan Edington,PT3M,PT35M,PT38M,1999-09-17T04:47:00Z,"I copied this one out of a friend's book so many moons ago that I can't remember where it's from, but it's so decadently fattening that I can't resist pigging out now and then.  I  usually serve with rice, but I suppose it would go with noodles or new potatoes  just as well.",Chicken,"c(""Poultry"", ""Meat"", ""< 60 Mins"")",895.5,66.8,31.9,405.8,557.2,29.1,3.1,5.0,45.3,2.0
45,Buttermilk Pie With Gingersnap Crumb Crust,1580,tristitia,PT50M,PT30M,PT1H20M,1999-08-06T00:40:00Z,Make and share this Buttermilk Pie With Gingersnap Crumb Crust recipe from Food.com.,Pie,"c(""Dessert"", ""Healthy"", ""Weeknight"", ""Oven"", ""< 4 Hours"")",228.0,7.1,1.7,24.5,281.8,37.5,0.5,24.7,4.2,8.0
46,A Jad - Cucumber Pickle,1533,Dancer,,PT25M,PT25M,1999-08-11T19:48:00Z,Make and share this A Jad - Cucumber Pickle recipe from Food.com.,Vegetable,"c(""Thai"", ""Asian"", ""Free Of..."", ""< 30 Mins"")",4.3,0.0,0.0,0.0,0.7,1.1,0.2,0.2,0.1,
47,Butter Pecan Cookies,1573,benluc,PT9M,PT55M,PT1H4M,1999-09-07T09:01:00Z,Make and share this Butter Pecan Cookies recipe from Food.com.,Dessert,"c(""Cookie & Brownie"", ""Fruit"", ""Nuts"", ""Weeknight"", ""Oven"", ""< 4 Hours"")",69.0,5.6,1.4,6.3,15.0,4.5,0.6,1.6,0.8,
